Number ,Date,Rating ,Label ,User,Review
13,27 Januari 2023,2,Negative,Haleems Ahmad,"Fitur SWACAM catat meter sering eror, setiap kali mau uplod catat meter, ada notif cURL error 0, sudah terjadi berulang kali, ternyata gak ada update perbaikan... Selain itu loading nya aplikasi ini juga termasuk lambat... Tidak secepat aplikasi2 lain.."
14,19 Januari 2023,5,Possitive,Roby Andriyanto,"Sangat membantu untuk pelaporan gangguan dan penanganan semakin cepat, menghemat biaya juga daripada tlp kita habis pulsa banyak. Sudah bisa juga pengecekan riwayat pembelian token, pembacaan meter secara mandiri dll. Mantaappp 👍👍👍"
15,7 Maret 2023,2,Negative,NURHIDAYAT DAYAT,"Aplikasi payah..tidak ada menu Notifikasi untuk melihat riwayat pembayaran : hari, tanggal dan jam nya. Padahal sudah bayar dengan metode pembayaran lain melalui Shopee pay. Tapi riwayat transaksinya tidak muncul. Payah...."
16,6 Maret 2023,5,Possitive,Teddy Ardiansyah,"Aplikasi nya sanga ,, sangat kereenn.. Fitur nya juga lengkap banget & sangat mudah di mengerti .. Untuk beli token ,, bayar tagihan sangat mudah.. Yang belum coba ayoo download aplikasi nya.. & rasakan ke mudahan nya"
17,7 Maret 2023,5,Possitive,juays gestha,"Aplikasinya sangat membantu, fiturnya jg banyak.. sekarang gak perlu ribet ke kantor PLN lg jika ada pengaduan dan gangguan kelistrikan. Semua jd mudah krn bisa dari Aplikasi PLN Mobile👍"
18,12 Maret 2023,4,Neutral,Mafud Kurnianto,"Untuk layanan pengaduan pada kWh meter menunjukan kode periksa tidak bisa saat input foto tiba tiba langsung kembali ke menu utama , mohon untuk diperbaiki lagi pada menu pengaduan tsb agar dapat digunakan lagi sebagaimana mestinya , terimakasih"
19,30 Januari 2023,5,Possitive,Mansur Adam,"Aplikasi ini sangat membantu saat terjadinya gangguan pemadaman di rumah. Kita bisa langsung tracing dan penanganannya cepat. serta bisa melakukan proses Pemasangan baru, perubahan Daya, Penyalaan sementara. Serta yang paling penting adalah mudah dalam penggunaannya.."
20,25 Januari 2023,5,Possitive,Dani Fadli,"Aplikasi ini sangat membantu untuk pengurusan masalah listrik.. Trutama pencatatan meter secara secara mandiri, namun lebih baik lagi bila di tambahkan ""Allert"" untuk pencatatan swafoto sebagai pengingat.."
21,21 Januari 2023,5,Neutral,FAAnisa Raya,"Sudah diperbaiki setelah 2hari 3malam 😪😬,saran aja untuk status mengenai perkembangan pengajuan itu, seharusnya yang menentukan pelapor(pelanggan) apa sudah nyala/nyala sementara/dibatalkan/dll, bukannya sistem yg menentukan 🤔..😌.123 ok,kode area 123 ok,email ok,apk perlu upgrade..btw makasih"
22,13 Maret 2023,5,Neutral,Andreas Andi Wijaya,"Data yg ditampilkan masih belum up to date, butuh resfresh berkali-kali (info dari admin, butuh refresh berkala), butuh dikembangkan lagi aplikasi nya. Sebagai support aplikasi anak bangsa, saya kasih bintang 5 biar admin nya senang & developernya semangat untuk membuat fitur-fitur baru yang tentunya memudahkan bagi pengguna."
23,14 Januari 2023,5,Negative,Mia,"Aplikasinya sangat mengecewakan, sebelumnya baik2 aja kalo mau bayar tagihan listrik, tapi skrng udah bayar pakai Virtual Account Mandiri, eh status nya masih menunggu pembayaran dan batas waktunya juga cuma 4 jam langsung berubah jadi kadaluarsa sedangkan sudah di transfer dari tadi sesuai nomer VA nya, udah ajukan keluhan juga belum ada respon sama sekali"
24,4 Maret 2023,3,Negative,Gita Ramanda,"Aplikasinya lumayan membantu.. hanya saja pilihan metode pembayaran nya masih terbatas, rekening BSI tidak ada, padahal pengguna rekening tersebut cukup banyak.. mending transaksi di aplikasi BSI mobile aja kalo gitu, estimasi penggunaan listriknya tidak akurat bahkan memberikan informasi yang salah sekali, belum waktunya habis tapi di aplikasi menyatakan token listrik sudah habis, bikin panik dan parno aja.. dihilangkan saja kalo gitu fiturnya unfaedah."
25,22 Januari 2023,5,Possitive,Eka Yulin,"Aplikasi PLN Mobile sangat membantu konsumen dalam permasalahan terkait dengan listrik. Menu dalam aplikasi semakin bervariasi. Ada berbagai macam menu yang bisa dipakai, seperti : Token & Pembayaran, Non Tagihan Listrik, Pengaduan, Catat Meter, Penyambungan Baru, Ubah Daya dan Migrasi, Penyambungan Sementara, Simulasi Biaya, E-Billing, Marketplace, dan PLN Magazine juga ada. Yang penting dalam hal efisien waktu, aksesnya mudah dan cepat. Semoga semakin berkemajuan bersama kebutuhan konsumen👍👍"
26,1 Maret 2023,4,Neutral,Zul Zul,"Pada versi terbaru ini saat catat meter mandiri mengharuskan angka meter masuk kedalam kotak kuning dan akan muncul angka otomatis dilayar hape, tapi saat klik ambil gambar angka meter berada diluar frame hasil foto, sehingga angka meter tidak terambil gambarnya, dan pada saat pencahayaan kurang angka 0 pada meter terbaca angka 8 diaplikasi"
27,27 Januari 2023,5,Possitive,Pria Adhi,"Untuk sistem di aplikasi mohon untuk terus dilakukan perbaikan dan pemeliharaan jaringan/server.. untuk respon dr pihak PLN sangat luar biasa sigap.. kemarin saya beri rating bintang 1 karena sistem aplikasinya, tapi persepsi saya berubah ketika pelayanan PLN sangat responsif.. terimakasih semoga selalu dijaga kualitas pelayanan"
28,25 Februari 2023,3,Neutral,irdanwardana aja,"Bulan ke dua saya pergunakan aplikasi swacam, terjadi perbedaan angka stand meter dari yang di capture dengan yang tertulis, saya ulang berkali kali tetap tidak menunjukan angka yang sesuai dengan yang ada di meter, saya sesuaikan angkanya secara manual agar sesuai (sesuai dengan instruksi pada aplikasi) namun swtelah saya kirim, saya tidak dapat mengetahui besaran prakiraan biaya dan diaplikasi tertulis tidak tersedia perkiraan biaya tanpa swacam. Saya minta dibantu jawabannya"
29,24 Maret 2023,5,Possitive,Lancelot_ Tiktok147,"Terimakasih Dengan adanya PLN mobile , Jadi mudah segalanya . Mau tambah daya / pasang baru jadi mudah . Terimakasih PLN Mobile . Sangat bermanfaat sekali . Sukses slalu PLN Mobile . . keep giving the best, for the service , semoga kaya gini terus ya😉🥰💃💃 mantap"
30,27 Januari 2023,5,Possitive,Mahmed Ghozaliy,"Aplikasi PLN ini aslinya bagus, cuma punya sy sudah 2X24 jam ini tidak bisa untuk masuk selalu keluar tulisan ""sedang ada gangguan di jaringan atau sistem. Mohon coba beberapa saat lagi"". Selalu seperti ini apa memang ada gangguan sistem apa bagaimana, mohon bantuannya Admin PLN Mobile... Jika kendala ini teratasi kami naikan reting bintang nya. Terimakasih"
31,25 Februari 2023,1,Negative,Afif Ismail Alhusaefi,"Status pengerjaan laporan tidak sesuai dengan keadaan di lapangan, di status pengaduan sudah selesai perbaikan tapi belum ada perbaikan sama sekali. Listrik di desa saya juga sering padam tengah malam malah dikerja besok pagi ya, katanya layanan 24 jam, percuma melapor kalau lambat pengerjaan dengan dalih banyak gangguan. Apa guna nya unit dalam pln kalau pemeliharaan tidak beres kalau sering terjadi gangguan yah di cek lah lakukan perbaikan supaya tidak ada laporan yg samaka terus"
32,14 Maret 2023,5,Possitive,Anko Chan,"Awalnya tiba tiba listrik mati,dan terdapat bacaan Tutup. Bingung dan di coba berkali kali ga bisa. Akhirnya aku download aplikasi PLN mobile,aku coba masukin data dan langsung ke keluhan pelanggan . Gak butuh waktu lama,bapak PLN nya langsung tlp dan datang hari itu juga. Bapaknya pun ramah ramah.. Terimakasih untuk PLN,semoga terus amanah.."
33,7 Maret 2023,5,Possitive,Muazam Fakhri Suny,"Aplikasinya membantu sekali, banyak menu menu yang memudahkan seperti pelaporan gangguan , pengajuan pasang baru atau perubahan daya , dan masih banyak lagi....semoga kedepanya semakin mantap, dapat menjawab segala kebutuhan pelanggan."
34,12 Februari 2023,5,Possitive,Amposari Guest House,"Aplikasinya bagus. Tapi untuk pasang baru listrik, kenyataan di lapangan jika pakai aplikasi PLN MOBILE lama terpasang tapi jika pakai pihak ketiga/btl (bayar) cepat terpasang. Ditunggu pencerahannya, terimakasih"
35,13 Januari 2023,5,Possitive,Muhammad Ilham Ramadhan Sonjaya Jr.,"Aplikasi PLN mobile sangat membantu, apalagi fitur tracing gangguan.. Jika terjadi gangguan listrik seperti padam, bisa langsung ke tracing dan cepat pula penanganannya. Terimakasih PLN."
36,27 Februari 2023,5,Possitive,IYAN SYAWAL FYM,"ternyata masalah yang saya alami di apk plnmobile ""kesalahan sambungan server"" baru teratasi dengan membuka apk plnmobile pakai paket data. sedangkan pakai wifi sama sekali tidak bisa lagi dua bulan sebelumnya pakai wifi bisa. padahal saya memakai wifi dari iconnet"
37,11 Januari 2023,5,Possitive,Bambang Erry Setyawan,aplikasinya sudah bagus cuma untuk pengaduannya perlu ditingkatkan lagi. jangan sampai pembatalan otomatis tanpa keterangan terjadi lagi. untuk lokasi kendaraan dan chat petugas jangan sampai kelewatan karna ini penting untuk informasi. nama petugas yang memperbaiki perlu ditampilkan untuk dinilai bagus tidaknya dalam beroperasi. laporan pengaduan perlu ditambah lagi jika sehari satu kali saat padam kembali terpaksa telpon 123 tapi jika antena setempat padam suara jadi tidak jelas. terima kasih
38,16 Februari 2023,5,Possitive,14_ Putri Febryasti Ronita,"Aplikasi ini sangat membantu saya dalam permasalan listrik yang saya alami cukup dengan 1 aplikasi saya sudah banyak memuat fitur. Dengan ini saya lebih efektif waktu dan efisien dalam mengeluarkan tenaga karena tidak perlu bolak-balik ke PLN, penanganan juga baik selama masih jam kantor. tetap dipertahankan dan ditingkatkan lagi pelayanannya agar semakin unggul. terimakasihh."
39,5 Maret 2023,2,Negative,Tri D.,"Aplikasi gak masalah, yang masalah itu listriknya. Masak empat jam mati listrik lebih dari 5x, kalau partnya usang ya mbok ganti baru. Gak cuma kencengin kendorin kayak kolor."
40,25 Februari 2023,5, Negative,winawan sidik,"Fitur catat meter bulan ini (februari 2023) mengapa tidak berfungsi ya, saat tombol rana ditekan tidak ada aktivitasnya. Sudah dicoba berulang kali tetap tidak berfungsi. Bulan lalu (januari 2023) masih berfungsi baik. Sayangnya di aplikasi juga tdk ada fitur laporan untuk masalah aplikasi. Mohon tanggapan mengenai masalah ini."
41,1 Maret 2023,3,Neutral,Wisnu Pamungkas,"Pada konfirmasi pembayaran tagihan listrik pascabayar payment gatewaynya sering error/ loading lama, dan user baru ke halaman konfirmasi transaksi setelah itu kembali belum klik bayar, sudah ada di menu transaksi tagihan, dan listview tagihan berulang² mohon ditingkatkan terkait proses bisnisnya aplikasi ini"
42,3 Maret 2023,1,Negative,Rinnaldo Adhitya Nugroho,"Setelah di telusuri ternyata aplikasi PLN mobile tidak bisa digunakan atau berjalan dengan menggunakan jaringan wiffi iconnet. Harus menggunakan jaringan lain seperti indihome, myrepublik dan paket data agar bisa berjalan dengan normal"
43,17 Januari 2023,5,Possitive,Fidal Suranda,Sangat memudahkan pelanggan dalam menginformasikan gangguan listrik... PLN TERBAIK...... Lebih baik lg Kalau aplikasi nya bisa melihat data history pembelian token punya meteran lain.. Kan masih banyak juga d tempat terpencil orang masih belum menggunakan smart phone.. ..
44,8 Maret 2023,5,Possitive,johan richard,"Aplikasi PLN Mobile sangat membantu dalam permohonan & pengaduan kelistrikan juga ada permohonan internetnya juga loh, aksesnya juga mudah tak kalah hebatnya ternyata bisa bayar tagihan listrik & beli token . Luar biasa, mantap. Thx"
45,6 Maret 2023,5,Possitive,Ari Pratama,"Applikasi yang sangat bagus fiturnya juga banyak dan mudah untuk di pahami atau di mengerti, sekarang bayar tagihan, isi token listrik jadi gak ribet lagi, semuanya jadi lebih mudah, bisa kapan aja dan di mana aja, selalu mberikan pelayanan terbaik, terima kasih PLN."
46,20 Februari 2023,5,Possitive,Jarot Muntoya,"Mudah di pahami. Untuk pelayanan lumayan membantu. Contoh: bila kita butuh di hal info kelistrikan dan pelayanan lewat PLN mobile , kita cukup di aplikasi ini. Mulai gangguan listrik, perubahan daya info rekening, padaman ,dan info"""" lain. Hanya cukup dr rumah aja kita buka aplikasi PLN mobile aja sudah terlayani. Informasi di hal kelistrikan mantaaap. Bisa di tingkatkan inovasi """" terbaru nya."
47,16 Maret 2023,5,Possitive,zizo mm badak,Aplikasi yang bagus rekomended untuk pengaduan adanya gangguan listrik dan ada banyak fiturnya juga. Bagus deh pokoknya kalau bisa tingkatkan lagi atau perbanyak reward yang didapatkan bagi pengguna aplikasi ini.
48,14 Januari 2023,1,Negative,Trio Nugraha,Beli token di aplikasi sudah bayar melalui VA tapi statusnya menunggu pembayaran dan akhirnya kadaluarsa. Sehingga tidak ada nomor token keluar sangat disayangkan sekali. Sudah melakukan pengaduan tetapi sampai saat ini belum ada tindak lanjut saat ditanyakan jawabannya selalu sedang ditindak lanjuti oleh pihak terkait dan disuruh ngecek email secara berkala. Kecewa saldo kepotong tapi token ga ada jadi rugi.
49,23 Maret 2023,1,Negative,Muhammad Luqman Al Hakim,"OPSI UNNINSTAL saya ambil. Nyoba beli token lewat aplikasi ini, bayar lewat VIRTUAL account BNI, langsung ditransfer eh, tiba tiba buka aplikasi, udah status gagal transaksi. Padahal baru 2 menit... nyoba telpon CALL CENTER, malah suruh cek bank, nyari no.data pengaduan, konfirmasi lewat email, screenshoot bukti, katanya gak bisa bukak EMAIL. Buat apa disediakan email? Formalitas doang ya. Ha ha he heh doang."
50,12 Januari 2023,2,Neutral,Abdul Wahab,"Hanya cepat di penanganan awal saja. Di lapangan, terutama masalah perbaikan, sering tidak siap apabila terjadi perubahan. Misal, Listrik Padam, petugas hanya memperbaiki kabel dan sejenis. Ketika dengan cara itu tidak berhasil, atau masalah lain ditemukan, seperti kerusakan Trafo, petugas di lapangan sering tidak siap dan lambat penanganannya."
51,26 Februari 2023,1,Negative,Nisa Fatimah,"Metode Swacamnya jadi gajelas, fitur bawaan blitz otomatisnya jadi engga bisa di foto karena saya gak butuh blitz hasilnya jadi putih, tolong dikembalikan seperti awal, perbaruannya jadi bikin susah, enggak semakin bagus"
52,6 Februari 2023,5,Possitive,Abdul Muis,"Aplikasinya bisa membantu mendapatkan info seputar pemadaman, pemasangan, imigrasi, tambah saya dan bisa juga pegadungan. Aplikasinya sangat membantu menghemat waktu agar tau info seputar PLN tanpa datang langsung ke kantornya... Mantaaap lah pokoknya PLN semakin didepan 👍🏻👍🏻👍🏻"
53,24 Maret 2023,5,Possitive,SONNY NUR HIDAYAT,"Aplikasi PLN Mobile ini keren banget, sangat mempermudah konsumen termasuk saya. Karena bisa diakses dimana pun dan kapanpun, dengan berbagai fitur dan menu yang bisa dipakai seperti: pembayaran listrik, pengaduan, catat meter, info stimulus, penyambungan baru, perubahan daya, simulasi biaya penyambungan, serta juga ada marketplace-nya lhoo. Semoga kedepan pelayanan PLN semakin baik dan semakin prima untuk melayani seluruh pelanggan yang ada di Indonesia, dengan berbagai kemudahan🙏"
54,24 Maret 2023,5,Possitive,Yusrul Falah,"Layanan makin mudah dan keren, bisa beli kendaraan listrik jd dan opsi pembayaran tagihan listrik makin banyak. Tapi mohon d perbaiki utk pembayaran terutama BCAVA"
55,24 Maret 2023,5,Possitive,Erlan Jaelani,"Aplikasi sangat membantu bisa tau info pemadaman, tagihan, pasang baru ,migrasi ,tambah daya & biaya pengaduan Sangat membantu dan menghemat waktu bisa tau info sekitar PLN tanpa datang ke kantornya, PLN mantaap👌 sukses selalu🤲"
56,24 Maret 2023,5,Possitive,aulia putra,"Semakin lengkap menu aplikasinya. pasang baru, tambah daya, info dan lapor gangguan, baca kwh meter mandiri jadi anti salah catat dan bayar, update berita PLN sampai belanja bisa di sini. Lengkap di satu aplikasi. Terima kasih PLN makin nyaman dengan PLN mobile."
57,24 Maret 2023,5,Possitive,Kalijaya 22,"Aplikasinya bagus,piturnya banyak dan mudah d mengerti,bisa beli token,bayar listrik,tambah daya dan lain"" nya.pokoknya mantap deh.......semoga tambah jaya PLN 💪"
58,24 Maret 2023,5,Possitive,Anggit Yudharana,"Aplikasi milik bumn yang sangat bermanfaat, mengurus tambah daya sangat cepat dan tidak ribet....petugas juga sangat ramah dan kooperatif, kesasarpun tidak membuat petugas kehilangan kesabaran dan gigih dlm melayani..good job PLN dan petugas lapangannya"
59,23 Maret 2023,1,Negative,Adnan Maulana,"Aplikasi banyak bug, eror saat bikin pengaduan, DM ke IG resmi PLN tidak dibalas, buka menu marketplace tapi menunya tidak merespon, mau aktivasi PLN Mobile tapi tidak bisa masukan no Handphone"
60,23 Maret 2023,5,Possitive,59. هادي كورنيا بن سوهارجا بن رشدي,"Saya kira bintang 4.9 hanya setingan, ternyata real. Saya coba ajukan pengaduan lewat aplikasi tgl 23 maret 2023 langsung datang saat itu juga malamm itu juga. Makasih PLN terutama pelayanan teknik up3 pondok kopi."
61,24 Maret 2023,5,Neutral,Nanang Bayu Nugroho,"Mohon untuk dapat di tingkatkan kembali untuk menu Marketplace, karena terkadang untuk membuka produk loadingnya lama. Padahal Signal aman2 saja."
62,24 Maret 2023,3,Possitive,Mahez channel,Aplikasi yg membantu buat pelanggan. Tinggal tambahkan menu telepon di aplikasi agar keluhan lain bisa dengan mudah mengkonfirmasi tanpa biaya pulsa reguler. Next bintang 5
63,24 Maret 2023,1,Negative,Angga Rhevanie,"Aplikasi sampah, mau daftarin kendaraan listrik gak bisa terus ( gangguan ) udh lebih dari 3 bulan masih ada gangguan, ini emg aplikasi udh mati apa gmna sih?"
64,24 Maret 2023,5,Possitive,Adi Putra,"PLN mobile aplikasi mantap, sangat membantu pelanggan PLN. Fitur selalu update, saat ini menu pengaduan khususnya terkait internet sudah ada juga. Toplah ⭐️⭐️⭐️⭐️⭐️"
65,12 Januari 2023,5,Possitive,Annisa Bunga Salsabila,Aplikasi PLN Mobile membantu sekali. Salah satunya untuk tracing gangguan yang ada. Serta terdapat fitur fitur yang memudahkan pengguna dalam menggunakannya. Semoga semakin baik kedepannya.
66,22 Maret 2023,1,Negative,Aliffia Putri,"Sangat buruk, berulang kali keluar akun sendiri. Bulan februari waktu catat meter aplikasi tidak jalan sama sekali mengecewakan. Minta billing pun harus unggah ktp seperti mau hutang saja padahal bayar selalu tepat waktu."
67,15 Maret 2023,5,Possitive,Agnes Ika,"Paling manteb aplikasinya, permohonan tambah daya ataupun pasang baru direspon dengan sangat cepat, pelayanan nya pun cepat dan pengerjaannya juga. Selain itu saat pengaduan listrik padam petugas terdekatpun langsung ngecek, manteb banget josss tingkatkan terus ya"
68,30 Januari 2023,5,Possitive,Widiya Ningsih,"Aplikasi sangat membatu, saat terjadi gangguan bisa langsung tracing dan cepat penanganan juga layanan informasi terbaru terkait pemadaman, migrasi, tambah daya, tagihan, pasang baru dsb. Dengan satu aplikasi dapat memudahkan kita."
69,1 Februari 2023,1,Negative,MarceLeivan Santoso,"Udah lama lama kumpulin poin dari log in setiap hari sama periode catat meter setiap bulan, tp poin hilang tiba2 & aplikasi selalu error. Pas saat poin sdh banyak jg mau tukar dgn hadiahnya selalu bilangnya habis. Mmg kaga niat ngasih hadiah nya ini aplikasi. Payah!!!"
70,19 Maret 2023,1,Negative,Tubagus ferdian,"Jadi ceritanya kami selalu pakai digital mobile. Kebetulan pas pengin pasang internet tertarik juga buat pengajuan data. Clear data selesai admin semuanya nunggu teknisi datang, begitu datang eehh jawabannya belum tercover jaringan, lah depan belakang rumah aja pd pakai internet narik kabel bisa ini ko ngga bisa. Amat sangat disayangkan sekali si klo menurut saya ,gimana mau maju kalo seperti ini. Menurut saya perlu perbaiki aplikasinya jangan asal asal update tetapi belum beneran update area."
71,27 Januari 2023,1,Negative,Paulus Jimbung,"Pencatatan meter mandiri (swa cam) bulan Januari 2023 ini sulit dilakukan. Memasukkan angka stand meter di kolom kuning aplikasi pln mobile selalu gagal, angka tidak terbaca. Jauh lebih mudah yg kemarin, tinggal foto angka meteran."
72,21 Februari 2023,5,Possitive,Bambang Supriyanto,"Aplikasi yg sangat membantu sekali,dengan aplikasi PLN mobile ini kita bisa melaporkan gangguan listrik dengan cepat,dan tanggapan nya juga cepat,selain itu di aplikasi ini kita juga bisa bertransaksi untuk membeli pulsa sendiri,dan juga bisa untuk nambah daya dan daftar baru,aplikasi yg sangat membantu,terimaksih semoga makin sukses💪💪💪.."
73,2 Februari 2023,4,Possitive,Gilang Permadi 20-015,"Aplikasi serta pelayanan sangat membantu saya ketika terjadi masalah pada meteran. Namun meteran kembali muncul bacaan periksa, jadi saya harus selalu mengajukan pengaduan tiap kali mau isi token, Tolong dibantu agar tidak bacaan periksa lagi"
74,24 Maret 2023,5,Possitive,Kristoforus Gollu,Aplikasi PLN Mobile sangat membantu dalam mengatasi masalah kelistrikan yang dialami pelanggan. Fitur-fiturnya banyak dan sangat mudah digunakan. Semua solusi kelistrikan ada dalam satu genggaman. Terima kasih PLN.
75,21 Januari 2023,5,Possitive,yessy yessyfitria,"Sangat membantu dgn adanya apps ini, karna bisa tau info pemasangan baru,pindah daya,gangguan PLN, dan bisa menghemat waktu tanpa harus datang atw tlp ke kantor"
76,6 Februari 2023,5,Possitive,Sukandar Kadar,"Sangat membantu dengan adanya aplikasi PLN mobil.mempermudah saadat ada gangguan bisa langsung melaporkan melalui aplikasi tersebut.mempermudah juga apabila ada pasang baru,rubah daya,ijin pesta dll."
77,11 Februari 2023,2,Neutral,Syahrial Bahri,"SARAN: 1. Kalau bisa KUMPULKAN POINT atau Check-In dihapus saja, karena tak bisa diakses alias Gangguan Jaringan atau Sistem mulu, itu lebih baik daripada menyesatkan. 2. Berdayakan petugas setiap Provinsi, Kabupaten/Kota untuk mengecek Aplikasi ini, mana yang bisa diakses atau tidak, dan mana yang error, agar kedepannya App bisa lebih baik lagi. 3. Tidak semua jaringan di setiap Prov, Kab/Kot sama."
78,1 Februari 2023,5,Possitive,Hendrik Djara,"Aplikasi sangat membantu untuk lapor gangguan dan juga ada informasih tambah daya, tagihan, dan pasang baru dsb. Dengan satu apalikasih yg mudah di gunakan."
79,16 Januari 2023,4,Possitive,Priyantoro Affandy,"Terimakasih atas pelayanan & penanganannya setelah bbrapa kendala yg saya alami, muali dri meter listrik muncul tulisan periksa, isi token muncul terpakai, semua sudah teratasi. Semoga PLN selalu memberikan pelayanan terbaik untuk pelanggan."
80,1 Februari 2023,5,Possitive,Ahmad Ghozi Amrullah (Bang Jek),"Aplikasi nya sangat bermanfaat, user interface nya nyaman untuk digunakan, respon cepat, sangat mempermudah membayar tagihan listrik, banyak info2 terkini, dan banyak bonus2 nya juga. Mantap 👍"
81,21 Februari 2023,1,Negative,Muhammad Iqbal,Untuk program tukar baterai motor listrik sering terjadi gangguan. Kadang saldo udh kepotong tapi token nya blm ke beli. Bahkan abis di update jadi gabisa buat nuker batre lagi. Tolong di perbaiki
82,22 Februari 2023,5,Neutral,reza ferdiana,"Mohon ditambahkan : - Promo cashback , bonus, point reward (ditambah lagi) - Peta gangguan seperti sebelumnya (sudah ada) - Tracking petugas dalam peta secara real time seperti gojek (belum coba fitur keluhan, semoga tidak ada gangguan) - Edit alamat pada ubah daya disesesuaikan dengan titik pada peta - Grafik pembelian token (sudah ada nih, tp belum semua karena masih baru kali ya) - Notifikasi pemakaian listrik dalam 1 bulan, dan tahun (belum lihat) mungkin bisa ditambahkan kaleidoskop tahunan"
83,26 Januari 2023,1,Negative,Awan Gumilang H (cloud),"Maaf min saya mau buka aplikasi ada notifikasi ""sedang ada gangguan di jaringan atau sistem"" nah pertanyaannya apakah aplikasi sedang dalam tahap perbaikan? Masalahnya dari kemarin saya coba masuk notifikasi tersebut muncul terus,tolong banget buat semua tim PLN khususnya programmer nya, diperbaiki ya mas /mba bagian programmer atau sistem informasi nya PLN , karena programnya butuh diperbaiki,semoga kritik,masukan ini bisa dijadikan evaluasi dan segera diperbaiki"
84,23 Maret 2023,2,Negative,Azise Setiawan,"App sudah mulai bagus, penanganan mulai lambat, knp fitur feedback penanganan gangguan dihilangkan. JD KL ada gangguan listrik padam penanganan JD lambat."
